family;name;class;cap-diameter;cap-shape;Cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;Spore-print-color;habitat;season
Bolete Family;Cep;e;[8, 30];[x, p];[w, t];[n];[f];[p];[w];[w, y];[8, 25];[40, 100];[s];[y];[n];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Bay Bolete;e;[7, 15];[x];[h, t];[n];[t];[p];[w];[y];[5, 12];[20, 25];[s];[y];[n];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Red-cracked Bolete;e;[5, 10];[x];[d];[n, y, e];[t];[p];[w];[y, r];[4, 8];[10, 15];[s];[y];[e, y];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Yellow-cracked Bolete;e;[3, 10];[x];[d];[n, y];[t];[p];[w];[y];[4, 10];[10, 20];[s];[y];[y];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Dotted-stemmed Bolete;p;[8, 20];[x];[e, k, s, h];[n];[t];[p];[w];[y, o, e];[6, 12];[20, 40];[c];[y];[y];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Lurid Bolete;p;[8, 14];[x];[e];[n, y];[t];[p];[w];[o, e];[5, 12];[15, 40];[s];[y];[u, e];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Parasitic Bolete;e;[2, 5];[x];[d, k];[n];[f];[p];[w];[y, e, n];[3, 6];[8, 12];[s];[y];[n, y];[w];[n];[f];[f];[n];[d];[a]
Bolete Family;Bitter Bolete;p;[5, 14];[x, p];[g];[n];[f];[p];[w];[w, p];[6, 14];[20, 40];[c];[y];[n];[w];[n];[f];[f];[p, w];[d];[u, a]
Bolete Family;Peppery Bolete;e;[3, 6];[x];[s, t];[n, o];[f];[p];[w];[n];[3, 8];[8, 15];[s];[y];[e, n];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Orange Birch Bolete;e;[12, 25];[p, x];[d];[n, o, e];[f];[p];[w];[w, n];[12, 20];[30, 40];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Brown Birch Bolete;e;[5, 10];[x];[g];[g, n];[t];[p];[w];[g];[8, 15];[20, 30];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a]
Bolete Family;Larch Bolete;e;[4, 12];[x];[t, h];[y];[f];[p];[w];[y];[5, 10];[12, 18];[s];[y];[y];[w];[y];[t];[p];[n];[d];[u, a]
Bolete Family;Slippery Jack;e;[6, 12];[x];[t, h, s];[n];[t];[p];[w];[y, n];[5, 10];[15, 20];[s];[y];[n];[w];[w];[t];[p];[n];[d];[u, a]
Bolete Family;Shallow-pored Bolete;e;[4, 12];[x];[h, t];[n];[f];[p];[d];[y];[4, 10];[10, 15];[s];[s];[n];[w];[n];[f];[f];[n];[g, h, d];[u, a]
Paxillus Family;Brown Roll-rim;p;[7, 15];[x, f, s];[t];[r, n];[t];[d];[c];[n];[4, 8];[10, 20];[s];[y];[n];[w];[n];[f];[f];[n];[h, d];[u, a]
Paxillus Family;Velvet Roll-rim;p;[8, 25];[f, s];[d, k, s];[n];[f];[d];[c];[y];[4, 8];[20, 50];[s];[k];[k, n];[w];[n];[f];[f];[n];[d];[u, a]
Paxillus Family;False Chanterelle;p;[3, 8];[s];[d];[o, y];[f];[d];[c];[o, y];[2, 5];[5, 8];[s];[y];[o, y];[w];[n];[f];[f];[n];[h, d];[u, a]
Chanterelle Family;Chanterelle;e;[2, 10];[x, f, s];[w];[y];[f];[f];[f];[f];[2, 8];[8, 20];[s];[y];[y];[w];[n];[f];[f];[n];[d];[u, a]
Chanterelle Family;Tubed Chanterelle;e;[2, 5];[s];[g];[n, y];[f];[f];[f];[f];[5, 8];[5, 10];[s];[y];[o, y];[w];[n];[f];[f];[n];[d];[a]
Chanterelle Family;Horn of Plenty;e;[2, 8];[s, o];[l];[n];[f];[f];[f];[f];[4, 10];[20, 80];[s];[y];[n];[w];[n];[f];[f];[g];[l, d];[u, a, w]
Oyster Mushroom Family;Oyster Mushroom;e;[5, 18];[f];[g];[l, g, b, w];[f];[d];[c];[w, y];[2, 3];[10, 20];[s];[y];[w];[w];[n];[f];[f];[n];[d];[a, w]
Oyster Mushroom Family;Branched Oyster Mushroom;e;[5, 12];[s, o];[g];[n];[f];[w];[w];[w];[2, 7];[15, 30];[s];[y];[n];[w];[n];[f];[f];[n];[d];[u, a]
Tricholoma Family;Olive-brown Panellus;p;[3, 12];[o];[e, t, k];[y, o, r, n];[f];[w];[c];[o, y];[1, 2];[10, 20];[s];[y];[y, n];[w];[n];[f];[f];[n];[d];[a, w]
Crepidotus Family;Soft Slipper Toadstool;p;[2, 7];[o];[s, t];[n, w];[f];[w];[c];[w];[0];[0];[f];[f];[f];[w];[n];[f];[f];[n];[d];[u, a]
Hydnum Family;Hedgehog Fungus;e;[6, 14];[f];[e];[b];[f];[w];[c];[b];[4, 6];[15, 25];[s];[y];[w];[w];[n];[t];[f];[n];[d];[a]
Ear-Pick Family;Ear-pick Fungus;p;[1, 2];[x, o];[k];[n];[f];[w];[w];[n];[2, 6];[1, 2];[s];[y];[n];[w];[n];[f];[f];[n];[d];[s, u, a, w]
Bracket Fungi;Hairy Stereum;p;[2, 6];[o];[s];[y, o, g, n, r];[f];[f];[f];[f];[0];[0];[f];[f];[f];[w];[n];[t];[f];[n];[d];[s, u, a, w]
Bracket Fungi;Silver Leaf Fungus;p;[2, 4];[o];[l];[g];[f];[f];[f];[f];[0];[0];[f];[f];[f];[w];[n];[f];[f];[n];[d];[s, u, a, w]
Bracket Fungi;Dryad's Saddle;e;[50];[o];[y];[y];[f];[p];[w];[y];[3, 10];[10, 60];[s];[k];[k, n];[w];[n];[f];[f];[n];[d];[s, u]
Bracket Fungi;Fuzzy Polypore;p;[8, 30];[f, x];[g, s, d];[o, e, n, k];[f];[p];[w];[y];[3, 8];[20, 60];[s];[y];[n];[w];[n];[f];[f];[n];[d];[a, w]
Bracket Fungi;Brown Goblet;p;[3, 7];[f, s];[k];[n, y];[f];[p];[w];[n];[2, 5];[3, 8];[s];[k];[n];[w];[n];[t];[f];[n];[d];[u]
Saddle-Cup Family;White Saddle;p;[2, 6];[o];[g];[w];[f];[f];[f];[f];[4, 7];[20, 40];[s];[g];[w];[w];[n];[t];[f];[n];[p, d];[u, a]
Bracket Fungi;Elfin's Saddle;p;[2, 4];[o];[g];[g, k];[f];[f];[f];[f];[2, 5];[10, 20];[s];[g];[g, n];[w];[n];[f];[f];[n];[d];[u, a]
Bracket Fungi;Turban Fungus;p;[5, 15];[o];[g];[n, e];[f];[f];[f];[f];[2, 5];[20, 30];[s];[g];[n];[w];[n];[f];[f];[n];[d];[s, u]
Morel Family;Common Morel;e;[3, 8];[p, c, o];[g];[n, g];[f];[f];[f];[f];[3, 8];[15, 25];[s];[y];[n];[w];[n];[f];[f];[n];[l, d];[s]
Jelly Discs Family;Jelly Babies;p;[1, 1.5];[x, f, s];[s];[y];[f];[f];[f];[f];[2, 5];[4, 7];[s];[y];[y];[w];[n];[f];[f];[n];[d];[u, a]
